Year,Moderate Income (120% AMI),Median Income (AMI),Low Income (80% AMI),Very Low Income (50% AMI),Extremely Low Income (30% AMI),Acutely Low Income (15% AMI)
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,113400,94500,68150,47250,28350,
2013,,,,,,
2014,113950,94950,76400,47750,28650,
2015,,,,,,
2016,115650,96400,76400,50250,30150,
2017,122350,101950,76400,53750,32250,
2018,135250,112700,85050,59850,35950,
2019,141950,118250,93550,65850,39550,
2020,152900,127450,100950,71100,42650,
2021,163400,136150,106000,74600,44750,20450
2022,182000,151650,118600,75850,45500,22750
